SUM of tests,country,,,,,,,
year,USA,RUS,FRA,GBR,CHN,NK,IND,PAK
1961,10,1,1,,,,,
1962,57,1,1,2,,,,
1963,43,,3,,,,,
1964,45,9,3,2,,,,
1965,38,14,4,1,,,,
1966,48,18,1,,,,,
1967,42,17,,,,,,
1968,56,17,,,,,,
1969,46,19,,,1,,,
1970,39,16,,,,,,
1971,24,23,,,,,,
1972,27,24,,,,,,
1973,24,17,,,,,,
1974,22,21,,1,,,1,
1975,22,19,2,,1,,,
1976,20,21,5,1,1,,,
1977,20,24,9,,,,,
1978,19,31,11,2,1,,,
1979,15,31,10,1,,,,
1980,14,24,12,3,,,,
1981,16,21,12,1,,,,
1982,18,19,10,1,1,,,
1983,18,25,9,1,2,,,
1984,18,27,8,2,2,,,
1985,17,10,8,1,,,,
1986,14,,8,1,,,,
1987,14,23,8,1,1,,,
1988,15,16,8,,1,,,
1989,11,7,9,1,,,,
1990,8,1,6,1,2,,,
1991,7,,6,1,,,,
1992,6,,,,2,,,
1993,,,,,1,,,
1994,,,,,2,,,
1995,,,5,,2,,,
1996,,,1,,2,,,
1998,,,,,,,2,2
2006,,,,,,1,,
2009,,,,,,1,,
2013,,,,,,1,,
2016,,,,,,2,,
2017,,,,,,1,,